Izglītības iestāde,Cēsu pilsētas vidusskola,"Leona Paegles iela 1, Cēsis, Cēsu nov., LV-4101"
Izglītības iestāde,Cesvaines vidusskola,"Madonas iela 1, Cesvaine, Cesvaines nov., LV-4871"
Izglītības iestāde,Degumnieku pamatskola,"Skolas iela 13, Degumnieki, Ošupes pag., Madonas nov., LV-4833"
Izglītības iestāde,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,"Pūces iela 2, Cēsis, Cēsu nov., LV-4101"
Izglītības iestāde,Gulbenes 2. vidusskola,"Līkā iela 21, Gulbene, Gulbenes nov., LV-4401"
Izglītības iestāde,Gulbenes novada valsts ģimnāzija,"Skolas iela 10, Gulbene, Gulbenes nov., LV-4401"
Izglītības iestāde,Gulbenes sākumskola,"Skolas iela 12, Gulbene, Gulbenes nov., LV-4401"
Izglītības iestāde,Kristiāna Dāvida pamatskola,"Kalna Skola, Barkavas pag., Madonas nov., LV-4834"
Izglītības iestāde,Kuldīgas Tehnoloģiju un tūrisma tehnikums,"Liepājas iela 31, Kuldīga, Kuldīgas nov., LV-3301"
Izglītības iestāde,Liezēres pamatskola,"Jaunatnes iela 6, Ozoli, Liezēres pag., Madonas nov., LV-4884"
Izglītības iestāde,Madonas pilsētas vidusskola,"Valdemāra bulvāris 6, Madona, Madonas nov., LV-4801"
Izglītības iestāde,Madonas Valsts ģimnāzija,"Valdemāra bulvāris 2A, Madona, Madonas nov., LV-4801"
Izglītības iestāde,Matīšu pamatskola,"Skolas iela 22, Matīši, Matīšu pag., Burtnieku nov., LV-4210"
Izglītības iestāde,Murmastienes pamatskola,"Rēzeknes iela 1, Murmastiene, Murmastienes pag., Varakļānu nov., LV-4835"
Izglītības iestāde,Ozolmuižas pamatskola,"Ozolmuižas pils, Ozolmuiža, Brīvzemnieku pag., Alojas nov., LV-4063"
Izglītības iestāde,"Priekuļu pirmsskolas izglītības iestāde ""Mežmaliņa""","Elites iela 1, Priekuļi, Priekuļu pag., Priekuļu nov., LV-4126"
Izglītības iestāde,Rīgas 1. vidusskola,"Akadēmijas laukums 1, Rīga, LV-1050"
Izglītības iestāde,Rīgas Tūrisma un radošās industrijas tehnikums,"Nīcgales iela 26, Rīga, LV-1035"
Izglītības iestāde,Rugāju novada vidusskola,"Kurmenes iela 87, Rugāji, Rugāju pag., Rugāju nov., LV-4570"
Izglītības iestāde,Rūjienas vidusskola,"Rīgas iela 30, Rūjiena, Rūjienas nov., LV-4240"
Izglītības iestāde,Stāķu pamatskola,"Stāķi 7, Stāķi, Stradu pag., Gulbenes nov., LV-4417"
Izglītības iestāde,Valmieras Gaujas krasta vidusskola - attīstības centrs,"Leona Paegles iela 5/7, Valmiera, LV-4201"
Izglītības iestāde,Valmieras Pārgaujas ģimnāzija,"Zvaigžņu iela 4, Valmiera, LV-4201"
Izglītības iestāde,Valmieras Valsts ģimnāzija,"Leona Paegles iela 40, Valmiera, LV-4201"
Izglītības iestāde,Valmieras Viestura vidusskola,"Viestura aleja 3, Valmiera, LV-4201"
Izglītības iestāde,Variņu pamatskola,"Oktobra iela 3, Variņi, Variņu pag., Smiltenes nov., LV-4726"
Izglītības iestāde,Dricānu vidusskola,"Dricānu vidusskola, Dricāni, Dricānu pag., Rēzeknes nov., LV-4615"
Izglītības iestāde,Lizuma vidusskola,"Pils, Lizums, Lizuma pag., Gulbenes nov., LV-4425"
Izglītības iestāde,Mazsalacas vidusskola,"Parka 30, Mazsalacas pag., Mazsalacas nov., LV-4215"
Izglītības iestāde,Rāmuļu pamatskola,"Rāmuļu Skola, Rāmuļi, Vaives pag., Cēsu nov., LV-4136"
Izglītības iestāde,Rankas pamatskola,"Rankas pamatskola, Rankas pag., Gulbenes nov., LV-4416"
Izglītības iestāde,Stalbes vidusskola,"Stalbes vidusskola, Stalbe, Stalbes pag., Pārgaujas nov., LV-4151"
Izglītības iestāde,Tirzas pamatskola,"Tirzas pamatskola, Tirza, Tirzas pag., Gulbenes nov., LV-4424"
Valsts iestāde,Pilsonības un migrācijas lietu pārvalde Ogres nodaļa,"Brīvības iela 44, Ogre, Ogres nov., LV-5001"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Jelgavas nodaļa,"Uzvaras iela 8, Jelgava, LV-3001"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Rīgas 1. nodaļa,"Čiekurkalna 1. līnija 1, Rīga, LV-1026"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Rīgas 2. nodaļa,"Krišjāņa Valdemāra iela 26, Rīga, LV-1010"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Rīgas 3. nodaļa,"Eduarda Smiļģa iela 46, Rīga, LV-1002"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Rīgas 4. nodaļa,"Daugavpils iela 31, Rīga, LV-1003"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Tukuma nodaļa,"Raudas iela 4, Tukums, Tukuma nov., LV-3101"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Jūrmalas nodaļa,"Talsu šoseja 39, Jūrmala, LV-2016"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Daugavpils nodaļa,"18. novembra iela 105, Daugavpils, LV-5404"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Preiļu nodaļa,"Rēzeknes iela 26, Preiļi, Preiļu nov., LV-5301"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Krāslavas nodaļa,"Dīķu iela 5, Krāslava, Krāslavas nov., LV-5601"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Rēzeknes nodaļa / Nodarbinātības valsts aģentūras Rēzeknes filiāle,"Atbrīvošanas aleja 155, Rēzekne, LV-4604"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Aizkraukles nodaļa,"Gaismas iela 14, Aizkraukle, Aizkraukles nov., LV-5101"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Limbažu nodaļa,"Cēsu iela 28, Limbaži, Limbažu nov., LV-4001"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Bauskas nodaļa,"Uzvaras iela 3, Bauska, Bauskas nov., LV-3901"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Jēkabpils nodaļa,"Rīgas iela 184, Jēkabpils, LV-5202"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Valmieras nodaļa / Nodarbinātības valsts aģentūras Valmieras filiāle / Valsts sociālās apdrošināšanas aģentūras Valmieras KAC / Valsts probācijas dienesta Vidzemes reģiona teritoriālā struktūr,"Meža iela 7, Valmiera, LV-4201"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Talsu nodaļa,"Anša Lerha-Puškaiša iela 6, Talsi, Talsu nov., LV-3201"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Ventspils nodaļa,"Užavas iela 8, Ventspils, LV-3601"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Liepājas nodaļa,"Vecā ostmala 24, Liepāja, LV-3401"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Kuldīgas nodaļa,"Pilsētas laukums 4, Kuldīga, Kuldīgas nov., LV-3301"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Saldus nodaļa,"Lielā iela 3, Saldus, Saldus nov., LV-3801"
Valsts iestāde,Valsts izglītības satura centrs,"Vaļņu iela 2, Rīga, LV-1050"
Valsts iestāde,Nodarbinātības valsts aģentūras Jelgavas filiāle,"Skolotāju iela 3, Jelgava, LV-3001"
Valsts iestāde,Nodarbinātības valsts aģentūras Dobeles filiāle,"Zaļā iela 27, Dobele, Dobeles nov., LV-3701"
Izglītības iestāde,Druvas vidusskola,"Skolas iela 2, Saldus, Saldus nov., LV-3801"
Izglītības iestāde,"Pirmsskolas izglītības iestāde ""Pasaciņa""","Eiženijas iela 8, Rīga, LV-1007"
Izglītības iestāde,Zirņu pamatskola,"Skolas iela 7, Zirņi, Zirņu pag., Saldus nov., LV-3853"
Izglītības iestāde,Saldus vidusskola,"J. Rozentāla iela 19, Saldus, Saldus nov., LV-3801"
Izglītības iestāde,Saldus Mūzikas skola,"Avotu iela 12A, Saldus, Saldus nov., LV-3801"
Izglītības iestāde,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""","Ventspils iela 51, Liepāja, LV-3405"
Izglītības iestāde,Baltinavas vidusskola,"Kārsavas iela 22, Baltinava, Baltinavas nov., LV-4594"
Izglītības iestāde,Balvu profesionālā un vispārizglītojošā vidusskola,"Vidzemes iela 26, Balvi, Balvu nov., LV-4501"
Izglītības iestāde,Stacijas pamatskola,"Skolas iela 12, Kubuli, Kubulu pag., Balvu nov., LV-4566"
Izglītības iestāde,Tilžas internātpamatskola,"Pārupes iela 4, Tilža, Tilžas pag., Balvu nov., LV-4572"
Izglītības iestāde,Viļakas pirmsskolas izglītības iestāde,"Liepnas iela 18, Viļaka, Viļakas nov., LV-4583"
Izglītības iestāde,Žīguru pamatskola,"Parka iela 9, Žīguri, Žīguru pag., Viļakas nov., LV-4584"
Izglītības iestāde,Viduču pamatskola,"Skolas iela 1, Semenova, Medņevas pag., Viļakas nov., LV-4586"
Izglītības iestāde,Rīgas 18. vakara (maiņu) vidusskola,"Sīmaņa iela 14, Rīga, LV-1005"
Izglītības iestāde,"Rīgas sākumskola ""Valodiņa""","Blaumaņa iela 26, Rīga, LV-1011"
Izglītības iestāde,Jēkabpils Agrobiznesa koledža,"Pasta iela 1, Jēkabpils, LV-5201"
Izglītības iestāde,Jelgavas Vakara (maiņu) vidusskola,"Skolotāju iela 8, Jelgava, LV-3001"
Izglītības iestāde,Jelgavas 1. internātpamatskola - attīstības centrs,"Institūta iela 4, Jelgava, LV-3004"
Izglītības iestāde,Latvijas Lauksaimniecības universitāte,"Lielā iela 2, Jelgava, LV-3001"
Izglītības iestāde,J. G. Herdera Rīgas Grīziņkalna vidusskola,"Lauku iela 9, Rīga, LV-1009"
Izglītības iestāde,Ķekavas vidusskola,"Gaismas iela 9, Ķekava, Ķekavas pag., Ķekavas nov., LV-2123"
Izglītības iestāde,Rīgas internātvidusskola bērniem ar dzirdes traucējumiem,"Graudu iela 21, Rīga, LV-1058"
Izglītības iestāde,Strazdumuižas internātvidusskola- attīstības centrs vājredzīgiem un neredzīgiem bērniem,"Braila iela 24, Rīga, LV-1024"
Izglītības iestāde,Jelgavas Tehnoloģiju vidusskola,"Meiju ceļš 9, Jelgava, LV-3007"
Izglītības iestāde,Jelgavas 3. sākumskola,"Uzvaras iela 10, Jelgava, LV-3001"
Izglītības iestāde,Jelgavas Tehnikums,"Pulkveža Oskara Kalpaka iela 37, Jelgava, LV-3001"
Izglītības iestāde,Jelgavas mūzikas vidusskola,"Lapskalna iela 2, Jelgava, LV-3007"
Izglītības iestāde,Jelgavas 4. vidusskola,"Akmeņu iela 1, Jelgava, LV-3004"
Izglītības iestāde,Valmieras Gaujas krasta vidusskola,"Lāčplēša iela 2, Valmiera, LV-4201"
Izglītības iestāde,Līvbērzes pamatskola,"Skolas iela 10, Līvbērze, Līvbērzes pag., Jelgavas nov., LV-3014"
Izglītības iestāde,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Ķipari""","Pulkveža Brieža iela 23A, Jelgava, LV-3007"
Izglītības iestāde,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Sprīdītis""","Tērvetes iela 6, Jelgava, LV-3008"
Izglītības iestāde,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Pasaciņa""","Aspazijas iela 18, Jelgava, LV-3001"
Izglītības iestāde,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Gaismiņa""","Vaļņu iela 5, Jelgava, LV-3001"
Izglītības iestāde,Jelgavas 6. vidusskola,"Loka maģistrāle 29, Jelgava, LV-3004"
Izglītības iestāde,Jelgavas 2. internātpamatskola,"Filozofu iela 50, Jelgava, LV-3001"
Izglītības iestāde,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Rotaļa""","Lāčplēša iela 5, Jelgava, LV-3002"
Izglītības iestāde,Jelgavas 5. vidusskola,"Aspazijas iela 20, Jelgava, LV-3001"
Izglītības iestāde,"SIA ""Mītavas elektra"" pirmsskolas izglītības iestāde ""Varavīksne""","Vaļņu iela 6, Jelgava, LV-3001"
Izglītības iestāde,Alūksnes pilsētas sākumskola,"Lielā Ezera iela 26, Alūksne, Alūksnes nov., LV-4301"
Izglītības iestāde,Ernsta Glika Alūksnes Valsts ģimnāzija,"Glika iela 10, Alūksne, Alūksnes nov., LV-4301"
Izglītības iestāde,Ziemeru pamatskola,"Pamatskola, Māriņkalns, Ziemera pag., Alūksnes nov., LV-4332"
